Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,X1v1,X1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade.,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,X2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,X.PassFwd,Pass.,PsCmpM3,PsCmpA3,PsCmpD3,PsAttD3,PsAttM3,Pull.Back.Passes.Completed,PsDist,ChlngeLost,Aerial.,Aerials,ExpGAg
55,19,8dq7nk2ey2r8d8ltgcuqqdlyi,481756,1281,21,Left Back,Ndzemdzela,Langwa,N. Langwa,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,5,0,3,2,1,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,5,1,93,56,479,215,115,0.32,0,0,0.49,0,0,5,5,10,92,4,1,154,56,0,0,1000,118,18,47,14,108,69.10%,20,4,93,4,10,8,5,13,6,1,0,0,0,0,0,0,16,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,12,35,187,441,372,19,52.60%,68.90%,148,32,150,220,206,2,17.7,29,75.00%,12,0
103,22,bpxxztlpukizv1d2a5506ilbe,481568,1073,21,Centre Forward,Marcel,Zajac,M. Zajac,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),8,10,1,11,10,1,4,5,10,3,0,0,0,0,1,0,1,1,1,2,0,0,6,12,50,7,289,66,166,5.01,1,3,2.87,8,5,1,12,13,22,4,4,61,12,0,0,495,90,3,10,4,21,68.40%,4,2,51,7,3,5,13,1,9,7,0,0,0,0,0,0,11,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,4,30,275,28,192,58,15.60%,80.30%,111,113,8,11,135,0,13.6,6,28.90%,45,0
86,13,e6cd4pwmbb7lfatlo8gc8eaj9,87810,901,33,Defensive Midfielder,José Antonio,Galán Pedrosa,Galán,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),6,2,0,1,0,1,0,0,8,8,0,0,2,0,0,0,0,0,0,0,0,0,1,8,58,30,494,211,195,0.3,0,0,0.46,0,0,0,9,9,6,0,0,55,4,0,0,644,71,10,16,5,48,65.00%,15,4,68,4,8,19,0,2,16,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,39,4,11,87,155,402,0,31.80%,82.20%,282,45,79,97,339,0,16.9,14,28.00%,25,0
163,2,3mdoaxl9nv5pgiya30nqm3qi,491825,9,24,Left Attacking Midfielder,Oluwatofarati,Fakunle,O.Fakunle,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,33.30%,100.00%,3,0,0,0,3,0,21.1,0,-,0,0
34,22,1mcgu1zocg8bwfrncptuvfm51,90443,1891,33,Left Centre Back,Mason,Trafford,M. Trafford,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,1,0,3,2,1,0,0,3,0,0,0,1,0,0,0,0,0,2,1,0,0,3,0,110,61,1040,663,206,1.16,0,0,0.34,2,0,0,5,5,2,0,0,52,2,0,0,1195,43,7,5,15,86,63.20%,57,33,79,1,3,8,0,10,2,2,0,0,0,0,0,0,18,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,0,1,31,752,412,14,43.20%,83.60%,326,14,529,627,394,0,22.2,7,54.50%,55,0
44,20,33nqawmehcegb4mgb7rbd5ht6,481744,1551,22,Left Centre Back,Daniel,Gogarty,D. Gogarty,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),4,3,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,93,66,883,537,187,1.04,0,0,0.22,1,0,0,6,6,2,0,0,62,0,0,0,1127,46,10,19,21,93,76.30%,40,13,73,1,2,9,1,3,2,0,0,0,0,0,0,0,27,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,0,5,61,615,451,7,47.10%,82.00%,334,16,374,470,391,0,20.1,9,61.70%,47,0
119,15,4bc5n4bry6a5wswiwzq8d9oq2,481569,541,22,Left Attacking Midfielder,Kadell,Thomas,K. Thomas,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),4,10,0,7,4,3,0,2,3,2,0,0,0,0,3,0,3,0,0,0,0,3,2,8,35,11,183,37,100,0.71,3,1,1.32,0,2,0,4,4,32,2,2,45,14,1,0,358,66,5,12,3,24,60.70%,2,0,44,7,2,3,5,0,6,2,0,0,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,8,21,192,36,130,26,27.30%,74.90%,53,75,9,16,76,0,14.6,11,27.30%,11,0
150,7,2bvfol1n1otgzral4w8j0ci22,434685,170,18,Left Attacking Midfielder,David,Doe,D. Doe,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,1,39,4,17,0.51,0,0,0,1,0,0,0,0,16,4,2,15,5,0,0,93,22,2,3,0,5,50.00%,0,0,10,5,1,0,2,1,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,5,56,7,30,8,33.30%,53.80%,9,11,1,4,15,0,19.5,5,0.00%,1,0
24,23,7yfwpe3tltsxez80puqy7hoet,95575,1755,27,Defensive Midfielder,Joseph,Di Chiara,J. Di Chiara,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),6,3,1,5,2,3,6,3,12,8,2,2,2,0,2,0,0,0,3,0,0,2,2,12,87,31,1001,466,417,2.7,2,1,1.27,2,1,0,16,16,39,3,1,140,22,2,1,1352,119,20,32,30,100,70.30%,18,7,125,6,6,25,11,6,33,1,0,0,0,0,0,0,27,18,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,8,29,247,259,846,38,26.60%,88.20%,601,118,164,183,667,0,16.5,22,47.20%,36,0
138,12,6l4kyf7qchaomnurt2e2bk445,110525,363,29,Centre Forward,Randy,Edwini-Bonsu,R. Edwini-Bonsu,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,9,0,6,2,4,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,3,6,26,3,82,17,36,0.59,0,1,1.57,0,2,5,5,10,12,3,2,26,5,1,1,182,33,2,5,3,10,36.80%,0,0,21,2,0,7,0,2,11,1,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,6,86,16,80,14,35.40%,64.60%,32,17,4,8,46,0,19.3,12,40.00%,5,0
